ACCOUNT_TYPE,CUSTOMER_TAG,EDUCATION_LEVEL,GENDER,INTERNET_BANKING_USAGE,MARITAL_STATUS,NOMINEE_AVAILABLE_FLAG,RM_ALLOCATED_FLAG,OCCUPATION,STATE,FD_FLAG,GI_FLAG,HEALTH_FLAG,LI_FLAG,MASS_FLAG,MF_FLAG,NR_FLAG,ACCOUNT_NO,AGE,AQB_BALANCE,AUM,CIBIL_SCORE,CREDIT_CARD_LIMIT,CR_AMT_12MNTH,CR_CNT_12MNTH,DC_APPAREL_30DAYS_ACTV,DC_ECOM_30DAYS_AMT,DC_ECOM_30DAYS_CNT,DC_FOOD_30DAYS_ACTV,DC_FUEL_30DAYS_ACTV,DC_GROCRY_30DAYS_ACTV,DC_OTT_30DAYS_ACTV,DC_POS_30DAYS_AMT,DC_POS_30DAYS_CNT,DC_RECHARGE_30DAYS_ACTV,DC_TRAVEL_30DAYS_ACTV,DC_UTILITY_30DAYS_ACTV,DR_AMT_12MNTH,DR_CNT_12MNTH,DR_CR_RATIO,FD_COUNT,FD_CURRENTMONTHANR,INCOME_NET,MONTHLY_BALANCE,NRV,TOTAL_LIVE_SECURED_AMT,TOTAL_LIVE_UNSECURED_AMT,VINTAGE_DAYS,KYC_LAST_DONE_DATE
SAVINGS,INSTITUTIONAL,Graduate,FEMALE,Y,Single/Unmarried,Y,Y,SELF EMPLOYED,Odisha,N,N,Y,N,Y,N,Y,0,52,7023249.794197069,1242342,305,9031155,28325752,1,1,130272,178,2,1,4,4,1075975,43,7,5,2,438579.7867305707,8,0.8032864193584064,10,3405778.6673027114,3862465.6581724747,7514818.73520761,3034439.5655125813,391318.6473136787,2924394.6562232426,2,2021-05-31
CURRENT,INSTITUTIONAL,PG,MALE,N,Single/Unmarried,Y,N,NON-EARNER,Uttar Pradesh,N,N,Y,Y,N,N,N,1,93,8519692.535558417,8791434,457,33206847,39165124,17,1,509121,480,10,10,1,1,3801981,54,6,7,4,3098572.349462204,5,0.8529315333167067,8,9902504.271701284,8108976.374128816,2421497.9438268547,8073463.439273633,7561020.781386893,1694550.0165306348,300,2023-12-01
SAVINGS,INSTITUTIONAL,Below 10th,FEMALE,N,Married,Y,Y,SELF EMPLOYED,Uttar Pradesh,Y,N,Y,Y,Y,Y,Y,2,15,3566089.1287438613,4402020,678,49155759,40469844,12,3,818278,341,4,7,9,5,2706230,49,6,8,4,7665272.455459718,5,0.5473303698400233,10,68322.68221206749,2707226.698386638,6717971.595452533,6725769.846405378,4360197.280267901,4040380.962061326,284,2023-09-21
SAVINGS,INSTITUTIONAL,UG,FEMALE,Y,Married,Y,Y,SELF EMPLOYED,Telangana,N,N,Y,Y,N,Y,Y,3,72,2613973.1656039488,5658443,629,8070738,23571212,9,6,1022827,382,0,4,7,7,1817386,30,9,6,7,4805548.383823038,17,0.43002607897128997,18,1876676.4700328975,7718797.3206986515,5508498.767478761,2491050.4871399053,6071802.930618157,9475611.211875144,173,2022-05-18
SAVINGS,INSTITUTIONAL,Graduate,FEMALE,N,Married,Y,Y,SALARIED,Out of India,N,N,N,Y,Y,Y,Y,4,61,9465985.727783388,4752654,402,4527105,28034108,13,6,99313,150,1,0,0,7,2793687,69,8,10,2,2153740.821944937,20,0.7627887595374955,6,3480288.894875334,3353513.0248880885,4310775.801233845,6345688.337660946,8556777.985941885,5745613.94928652,158,2023-07-08
SAVINGS,RETAIL,Below 10th,MALE,N,Married,Y,Y,SALARIED,Karnataka,Y,N,N,N,Y,Y,Y,5,21,7263035.00368818,179503,522,24933162,10305802,8,0,1111877,382,8,0,6,10,1517237,24,9,6,10,4769205.242996873,8,0.9187792418407722,2,6228251.070074316,5376253.997743448,1065125.442776832,4034563.927502661,3056589.0335616996,3278242.2321046502,353,2023-11-22
CURRENT,INSTITUTIONAL,UG,MALE,N,Single/Unmarried,Y,Y,BUSINESS OWNER,Chhattisgarh,Y,Y,N,N,N,Y,N,6,83,2196821.3337582634,8107526,701,40533720,25092055,10,7,1120557,270,2,1,3,5,399628,59,8,2,3,9089977.931232413,4,0.1753341808533998,9,1803926.4720702718,8468461.380935036,4184888.4613844217,3606204.604732104,7653260.327059977,3870056.358621716,95,2022-10-09
SAVINGS,INSTITUTIONAL,UG,FEMALE,N,Married,Y,Y,SELF EMPLOYED,Kerala,Y,Y,Y,Y,N,N,N,7,87,4490833.9267611345,4436711,844,31438065,45757536,19,3,1340463,363,4,6,9,2,792459,5,1,1,5,2928378.696884906,0,0.06598263370830637,15,5593547.212734081,3670459.105058068,4798702.996207012,8921880.627368312,8149116.538739641,9479966.49743672,112,2023-02-01
CURRENT,RETAIL,UG,FEMALE,N,Single/Unmarried,Y,Y,BUSINESS OWNER,West Bengal,Y,Y,N,Y,Y,N,Y,8,75,7964517.695378094,3038406,808,1123112,41956634,0,7,1374953,334,3,8,5,7,1274308,18,2,6,4,6873226.32533801,8,0.3945482942093581,9,9450989.659741687,2885048.5421949923,2722670.3829333466,2022758.0538692956,1136511.5350674181,682883.5424414192,36,2021-04-25
SAVINGS,INSTITUTIONAL,Below 10th,MALE,N,Single/Unmarried,Y,Y,SALARIED,Gujarat,N,N,Y,Y,Y,N,Y,9,75,5470629.909184421,3145093,483,4705994,37135606,11,9,1348629,286,7,8,7,0,3087762,4,2,9,0,1327018.6652581084,18,0.5397636277388592,18,4716090.933556316,3554585.339070061,7373427.174736127,2953877.100342316,3634707.9745063116,4498046.844915369,332,2022-11-09
